iter	MultiClass
0	1.013739805
1	0.9441843257
2	0.8803398233
3	0.8269238303
4	0.7789715961
5	0.7256283767
6	0.6863397931
7	0.6454675873
8	0.6097277221
9	0.576987247
10	0.5476894244
11	0.5181645573
12	0.4898136001
13	0.4670903899
14	0.4481020897
15	0.4266866779
16	0.4050573546
17	0.3865492705
18	0.3742278015
19	0.3602116412
20	0.3448682728
21	0.331545271
22	0.3201014398
23	0.3098874858
24	0.2984060456
25	0.2891828842
26	0.2809420717
27	0.2731503061
28	0.2639531957
29	0.2562153202
30	0.2479195085
31	0.2408014186
32	0.2326481729
33	0.2243854587
34	0.2171972598
35	0.2115956763
36	0.2065680184
37	0.200685382
38	0.1953520781
39	0.189033463
40	0.1842491509
41	0.1794664676
42	0.1754805451
43	0.1714267077
44	0.1682738505
45	0.1646362698
46	0.1597897162
47	0.1557513164
48	0.1526388455
49	0.1489444178
50	0.1451826435
51	0.141921783
52	0.1382200213
53	0.1361673579
54	0.1343863716
55	0.1319561567
56	0.1297859898
57	0.1269629447
58	0.1248317378
59	0.1226213643
60	0.1204554494
61	0.11873367
62	0.1169360559
63	0.1147062004
64	0.1124685141
65	0.1107551543
66	0.1088745569
67	0.1069405206
68	0.1051486984
69	0.1032998304
70	0.1017152414
71	0.09992450863
72	0.09855708031
73	0.09699603736
74	0.09541351164
75	0.09384816442
76	0.09227065253
77	0.09059864506
78	0.0894397432
79	0.0881148077
80	0.08657309278
81	0.0855006796
82	0.08430049403
83	0.08312703493
84	0.08192538061
85	0.08077913597
86	0.07971105501
87	0.07863192315
88	0.07752591103
89	0.07635022562
90	0.07525030851
91	0.07386487206
92	0.07282092692
93	0.07153698973
94	0.07063862277
95	0.06950444277
96	0.06849579258
97	0.06736863862
98	0.06648394419
99	0.06554949733
100	0.06458208121
101	0.06379538114
102	0.06301038929
103	0.06224384631
104	0.06153730869
105	0.06090302528
106	0.0602653242
107	0.05956493555
108	0.05885919414
109	0.0580874172
110	0.05736634965
111	0.0566184394
112	0.05609196132
113	0.05540257414
114	0.05460111865
115	0.0537953739
116	0.05319768412
117	0.05248073481
118	0.05196699616
119	0.05149755192
120	0.05096738455
121	0.05043205573
122	0.05005783924
123	0.04946281956
124	0.04900956444
125	0.04843073677
126	0.0478092401
127	0.04736013597
128	0.04687241294
129	0.04632468943
130	0.04582338325
131	0.04529229211
132	0.04482175413
133	0.04435000505
134	0.04394662059
135	0.04359772748
136	0.04317818156
137	0.04281550411
138	0.04246864409
139	0.04205381293
140	0.04168049951
141	0.04129265382
142	0.04081879772
143	0.04050342415
144	0.04012679064
145	0.03975218809
146	0.03939642519
147	0.03907253299
148	0.03878645344
149	0.03847669516
150	0.0381038025
151	0.03785579205
152	0.03744970995
153	0.03715987953
154	0.03685173182
155	0.03652399995
156	0.03628138177
157	0.0360156224
158	0.03573955011
159	0.03548847008
160	0.03524192386
161	0.03494602018
162	0.03468517294
163	0.03441499038
164	0.0341369045
165	0.0338724924
166	0.03356880237
167	0.03333932603
168	0.03309984334
169	0.03288086528
170	0.03262513106
171	0.0323972242
172	0.03218072316
173	0.03197032398
174	0.03177509474
175	0.03151591751
176	0.0313128046
177	0.03109760225
178	0.03091553071
179	0.03070073991
180	0.03050533039
181	0.03027105452
182	0.0300775156
183	0.02987690106
184	0.02969382446
185	0.02953049281
186	0.02929249745
187	0.0291233882
188	0.02892815289
189	0.02874463409
190	0.02858767713
191	0.02840933393
192	0.02826659689
193	0.028115352
194	0.02794709923
195	0.02779966984
196	0.02759248401
197	0.02747036239
198	0.02731835958
199	0.02717703638
200	0.0270362544
201	0.02686059496
202	0.02669228832
203	0.0265456826
204	0.02637097618
205	0.02623899767
206	0.0260596164
207	0.02589245463
208	0.02576448785
209	0.02557468405
210	0.02541910824
211	0.0252672893
212	0.02512381104
213	0.0249739516
214	0.02482331896
215	0.02469058105
216	0.02454269011
217	0.02437155869
218	0.02421246473
219	0.02403232343
220	0.02390645148
221	0.02379476401
222	0.02364000946
223	0.02346623753
224	0.02335424662
225	0.02325074818
226	0.02314154457
227	0.02301900722
228	0.02288716914
229	0.02273940184
230	0.02261859955
231	0.02251110503
232	0.02239621531
233	0.02226684222
234	0.02215670045
235	0.02206283982
236	0.0219646024
237	0.02182368738
238	0.02171991598
239	0.0216027479
240	0.02146687793
241	0.02138468609
242	0.02128758489
243	0.02119538406
244	0.02109755476
245	0.02097093256
246	0.02085182949
247	0.02075636251
248	0.02067342531
249	0.02057216061
250	0.02045477207
251	0.02036411105
252	0.0202801829
253	0.02019814926
254	0.02006736323
255	0.01996200414
256	0.0198435852
257	0.01973215518
258	0.01965565202
259	0.01956883471
260	0.01949174666
261	0.01940635021
262	0.01928867407
263	0.01918970588
264	0.01912560498
265	0.01904225266
266	0.0189547658
267	0.01887104365
268	0.01878807771
269	0.01868929419
270	0.01859965247
271	0.01852817749
272	0.01842823874
273	0.01834441855
274	0.01826222576
275	0.0181926389
276	0.01811609336
277	0.01805148823
278	0.01798589773
279	0.01790014153
280	0.01781792325
281	0.01772455371
282	0.01764501822
283	0.01759035653
284	0.01751273322
285	0.01745098831
286	0.01737161578
287	0.01730038798
288	0.01722783709
289	0.01716103389
290	0.01706783494
291	0.0170075732
292	0.01691532625
293	0.0168485476
294	0.0167745582
295	0.01668876314
296	0.01663061452
297	0.01656268366
298	0.01649397052
299	0.01642337312
300	0.0163628691
301	0.01631362884
302	0.01625776255
303	0.0161771671
304	0.0161298184
305	0.01606342522
306	0.0159968036
307	0.01594227056
308	0.01589306259
309	0.01584050052
310	0.01578644121
311	0.01571490382
312	0.01567008663
313	0.01560047801
314	0.01554572838
315	0.01546835479
316	0.01540542672
317	0.01535615139
318	0.01528064287
319	0.01522286388
320	0.01517359523
321	0.01511643813
322	0.01505811049
323	0.01499901828
324	0.01495478515
325	0.01488319717
326	0.01482945937
327	0.01477705343
328	0.01472744353
329	0.01468823349
330	0.01464154405
331	0.01459073835
332	0.01454504508
333	0.01448018677
334	0.0144308702
335	0.01439254421
336	0.01434363224
337	0.01430536568
338	0.01426533845
339	0.01421619165
340	0.0141745877
341	0.01414081063
342	0.01410013263
343	0.01404792151
344	0.01399284448
345	0.01395180055
346	0.01389988569
347	0.01385881364
348	0.01381518956
349	0.01376773442
350	0.01372838348
351	0.01367426681
352	0.0136395228
353	0.01358682676
354	0.0135420491
355	0.01348260076
356	0.01343326148
357	0.01339501343
358	0.01335559499
359	0.01331792436
360	0.01327874232
361	0.01323818196
362	0.01318421482
363	0.01314151944
364	0.01310678528
365	0.01307120564
366	0.01303587308
367	0.01298411408
368	0.01293438208
369	0.01289826951
370	0.01285610608
371	0.01281673112
372	0.01277398038
373	0.01273318006
374	0.01269463903
375	0.01265400143
376	0.01261722167
377	0.01258112773
378	0.0125493455
379	0.01251615151
380	0.01247510859
381	0.01244267536
382	0.01239723274
383	0.01236851818
384	0.01233698819
385	0.01229743527
386	0.01226810551
387	0.01223785249
388	0.0121994259
389	0.01216366902
390	0.01212023105
391	0.01209032919
392	0.01205625239
393	0.01202223082
394	0.01198685936
395	0.01194929553
396	0.01190459494
